date,home,away,edge,odds,bet,profit,bankroll
2025-09-13,Newcastle,Wolves,0.1188860064857844,1.42,45845.85460569423,19255.25893439157,248484.5319628627
2025-09-13,Bournemouth,Brighton,0.06760681129110979,2.35,19470.058821610513,26284.579409174195,274769.1113720369
2025-09-13,Brentford,Chelsea,0.05810868613340969,4.5,16318.214464197497,-16318.214464197497,258450.89690783943
2025-09-14,Man City,Man United,0.23718044541863448,1.75,51690.17938156789,38767.634536175916,297218.53144401533
2025-09-20,Man United,Chelsea,0.11926776196498629,2.6,47763.53538209204,76421.65661134727,373640.1880553626
2025-09-20,Brighton,Tottenham,0.07352837028227621,2.25,35747.96847652319,-35747.96847652319,337892.21957883943
2025-09-21,Bournemouth,Newcastle,0.059945548452331576,2.5,21795.77337427675,-21795.77337427675,316096.4462045627
2025-09-21,Sunderland,Aston Villa,0.05517796868725389,3.4,17721.77546576876,-17721.77546576876,298374.6707387939
2025-09-27,Crystal Palace,Liverpool,0.053328368483925415,3.8,16266.513262602826,45546.23713528791,343920.9078740818
2025-10-18,Brighton,Newcastle,0.05897440941474591,2.63,20977.990951308257,34194.12525063245,378115.0331247143
2025-10-18,Man City,Everton,0.13054418982169635,1.4,75623.00662494286,30249.20264997714,408364.2357746914
2025-10-18,Fulham,Arsenal,0.10180905200501472,5.75,45234.40988578648,-45234.40988578648,363129.8258889049
2025-10-25,Brentford,Liverpool,0.06835356648933741,4.1,26887.183548014855,83350.26899884603,446480.0948877509
2025-10-26,Arsenal,Crystal Palace,0.19803343453828093,1.4,89296.0189775502,35718.40759102007,482198.50247877097
2025-10-26,Aston Villa,Man City,0.11273059922745199,4.33,63831.58935360571,212559.19254750703,694757.695026278
2025-10-26,Bournemouth,Nott'm Forest,0.11861132262359231,1.8,138951.53900525562,111161.2312042045,805918.9262304825
2025-11-01,Nott'm Forest,Man United,0.09996752749048843,3.3,96541.26153615024,-96541.26153615024,709377.6646943323
2025-11-09,Brentford,Newcastle,0.09210965617093919,2.8,82509.8238040023,148517.68284720412,857895.3475415364
